商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
捣蛋鬼 狗粮猫粮封口夹密封夹 封袋夹 大号,¥2.50,¥2.80,4.9,704,0,//img-new.boqiicdn.com/Data/Shop/0/65/6588/shoppicpath11440054406_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-6588.html,2145128,26.5*4cm,,,狗狗,,,,0.04KG,￥2.8
捣蛋鬼 狗粮猫粮封口夹密封夹 封袋夹 小号,¥1.00,¥1.10,4.9,680,0,//img-new.boqiicdn.com/Data/Shop/0/65/6589/shoppicpath11440055221_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-6589.html,2145129,11.5cm*1.5cm,,,全犬猫,,,,0.01KG,￥1.1
法国皇家Royal Canin 泰迪贵宾成犬粮 500g PD30,¥44.00,¥48.40,4.9,1648,0,//img-new.boqiicdn.com/Data/Shop/0/65/6593/shoppicpath11561542569_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-6593.html,1001402,500g,小麦、禽肉骨粉、谷脘粉、牛油、大米、狗粮口味增味剂、鱼油、维生素,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,10月以上泰迪贵宾成犬,适中颗粒,禽肉混合口味,18个月,0.53KG,￥48.4
邮费专拍,,,5.0,1060,0,//img-new.boqiicdn.com/Data/Shop/0/65/6595/picpath11355889450_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,虚拟商品,优惠券,虚拟专享,https://shop.boqii.com/product-6595.html,324555,,,,,,,,0.00KG,￥1.0
捣蛋鬼 提拉式便携宠物航空托运箱外带宠物笼 适合中小型猫犬,¥150.00,¥195.00,4.8,23,0,//img-new.boqiicdn.com/Data/Shop/0/65/6598/picpath11375948432_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,出行装备,航空箱包,https://shop.boqii.com/product-6598.html,2145133,"长60cm,宽40cm，高41cm",,,中小型犬、猫、大型犬幼犬,,,,3.82KG,￥195.0
怡亲Yoken狗狗加绒四脚衣 泰迪比熊贵宾秋冬保暖法兰绒服饰,¥28.00,¥28.60,4.4,320,5,//img-new.boqiicdn.com/Data/Shop/0/66/6609/shoppicpath11544778797_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,服装饰品,https://shop.boqii.com/product-6609.html,2445135,,,,犬,,,,0.12KG,￥28.6
捣蛋鬼 美观耐磨便携式宠物航空托运箱外带宠物笼 适合小型猫犬,¥68.00,¥88.40,4.5,123,1,//img-new.boqiicdn.com/Data/Shop/0/66/6615/shoppicpath11540658436_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,出行装备,航空箱包,https://shop.boqii.com/product-6615.html,2145136,均码,,,猫狗通用,,,,1.16KG,￥88.4
纽安吉 仓鼠全日综合营养粮 800g 蔬果搭配 减轻便臭,,,4.7,200,1,//img-new.boqiicdn.com/Data/Shop/0/66/6616/shoppicpath11565754113_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,仓鼠粮,https://shop.boqii.com/product-6616.html,3426401,,,,,,,,0.80KG,￥23.1
纽安吉 仓鼠全日缤纷水果粮 400g 豪华配料,,,4.8,113,0,//img-new.boqiicdn.com/Data/Shop/0/66/6617/shoppicpath11564039025_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,仓鼠粮,https://shop.boqii.com/product-6617.html,3426402,,,,,,,,0.40KG,￥16.0
纽安吉 仓鼠全日高钙海鲜粮 400g豪华配料,,,4.8,51,0,//img-new.boqiicdn.com/Data/Shop/0/66/6618/shoppicpath11562638135_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,仓鼠粮,https://shop.boqii.com/product-6618.html,3426403,,,,,,,,0.41KG,￥16.0
NEW AGE纽安吉 仓鼠浴沙500g/1kg 洗澡除臭浴砂,¥5.50,¥6.60,4.5,370,4,//img-new.boqiicdn.com/Data/Shop/0/66/6619/shoppicpath11562638288_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,清洁,https://shop.boqii.com/product-6619.html,3426404,,,,,,,,0.50KG,￥6.6
NEW AGE纽安吉仓鼠真空静音仓鼠水壶60ml,,,4.5,66,0,//img-new.boqiicdn.com/Data/Shop/0/66/6629/shoppicpath11562638410_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,器具,https://shop.boqii.com/product-6629.html,3426414,,,,,,,,0.02KG,￥4.2
NEW AGE纽安吉仓鼠透明小浴室/浴房-三色,,,4.5,33,0,//img-new.boqiicdn.com/Data/Shop/0/66/6635/shoppicpath11569224326_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,器具,https://shop.boqii.com/product-6635.html,3426421,,,,,,,,0.04KG,￥7.0
NEW AGE纽安吉 仓鼠专用尿砂铲子 颜色随机,¥1.80,¥2.00,4.7,54,0,//img-new.boqiicdn.com/Data/Shop/0/66/6636/shoppicpath11562640216_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,器具,https://shop.boqii.com/product-6636.html,3426420,,,,,,,,0.01KG,￥2.0
NEW AGE纽安吉全日美毛蔬果兔粮800g,¥19.50,¥21.50,4.6,18,0,//img-new.boqiicdn.com/Data/Shop/0/66/6639/shoppicpath11586933128_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,兔粮,https://shop.boqii.com/product-6639.html,3426424,,,,,,,,0.80KG,￥21.5
NEW AGE纽安吉全日美毛除臭蔬果兔粮2.75kg,,,4.6,27,0,//img-new.boqiicdn.com/Data/Shop/0/66/6642/shoppicpath11562640330_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,兔粮,https://shop.boqii.com/product-6642.html,3426427,,,,,,,,3.00KG,￥65.9
NEW AGE纽安吉经典幼兔粮1KG 替代乳配方,¥15.00,¥16.50,4.7,77,0,//img-new.boqiicdn.com/Data/Shop/0/66/6643/shoppicpath11586933318_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,兔粮,https://shop.boqii.com/product-6643.html,3426428,,,,,,,,1.00KG,￥16.5
NEW AGE纽安吉 经典成兔粮1kg,,,4.8,53,0,//img-new.boqiicdn.com/Data/Shop/0/66/6644/shoppicpath11586933355_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,兔粮,https://shop.boqii.com/product-6644.html,3426429,,,,,,,,1.00KG,￥15.4
New Age纽安吉 小动物磨牙苹果枝 洁牙,,,4.7,121,2,//img-new.boqiicdn.com/Data/Shop/0/66/6652/shoppicpath11562640721_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,磨牙,https://shop.boqii.com/product-6652.html,3426437,,,,,,,,0.23KG,￥6.6
Minishow 迷你秀仓鼠盛宴营养鼠粮800g,,,4.6,446,3,//img-new.boqiicdn.com/Data/Shop/0/66/6657/shoppicpath11561519928_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,仓鼠粮,https://shop.boqii.com/product-6657.html,3426501,,,,,,,,0.80KG,￥14.3
Minishow迷你秀仓鼠零食香甜苹果粒30g,,,4.7,104,0,//img-new.boqiicdn.com/Data/Shop/0/66/6659/shoppicpath11561520284_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,仓鼠粮,https://shop.boqii.com/product-6659.html,3426503,,,,,,,,0.03KG,￥5.5
minishow 迷你秀仓鼠吸尿除臭厕砂1KG 三种香味,,,4.7,120,2,//img-new.boqiicdn.com/Data/Shop/0/66/6660/shoppicpath11561520453_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,清洁,https://shop.boqii.com/product-6660.html,3426504,,,,,,,,1.02KG,￥8.8
Minishow 迷你秀 仓鼠洗澡砂浴沙500g 4味选,¥2.90,¥3.50,4.5,327,0,//img-new.boqiicdn.com/Data/Shop/0/66/6661/shoppicpath11586933626_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,清洁,https://shop.boqii.com/product-6661.html,3426505,,,,,,,,0.52KG,￥3.5
Minishow迷你秀绿茶味龙猫仓鼠洗澡砂2kg,,,4.6,28,1,//img-new.boqiicdn.com/Data/Shop/0/66/6662/shoppicpath11561521185_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,龙猫,用具,https://shop.boqii.com/product-6662.html,3426506,,,,,,,,2.00KG,￥13.2
潜水泵鱼缸森森HQB系列抽水泵静音循环过滤泵假山家用水泵,¥38.50,¥45.50,4.7,14,1,//img-new.boqiicdn.com/Data/Shop/0/67/6707/shoppicpath11562830327_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-6707.html,3526801,,,,,,,,4.46KG,￥45.5
森森JP-1100GS两用多功能潜水泵25w含增氧,,,4.8,8,0,//img-new.boqiicdn.com/Data/Shop/0/67/6708/shoppicpath11546833112_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-6708.html,3526802,,,,,,,,0.63KG,￥45.5
森森 鱼缸多功能潜水内置过滤器JP-025F  2.4m以内鱼缸适用,,,4.8,6,0,//img-new.boqiicdn.com/Data/Shop/0/67/6709/shoppicpath11563247472_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-6709.html,3526803,,,,,,,,0.94KG,￥64.9
森森静音过滤器增氧泵水 7w JP-043F,,,5.0,4,1,//img-new.boqiicdn.com/Data/Shop/0/67/6710/shoppicpath11562642025_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,增氧泵,https://shop.boqii.com/product-6710.html,3526804,,,,,,,,0.31KG,￥24.2
森森 多功能潜水泵 HJ-741,,,5.0,2,0,//img-new.boqiicdn.com/Data/Shop/0/67/6711/shoppicpath11561607575_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-6711.html,3526805,,,,,,,,0.33KG,￥22.4
森森 HJ-311迷你潜水泵2W 扬程可达60cm,,,5.0,4,0,//img-new.boqiicdn.com/Data/Shop/0/67/6712/shoppicpath11561607650_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-6712.html,3526806,,,,,,,,0.17KG,￥15.0
森森静音 增氧泵鱼缸氧气泵 YT-302C双孔,,,4.5,14,2,//img-new.boqiicdn.com/Data/Shop/0/67/6714/picpath11361871864_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,增氧泵,https://shop.boqii.com/product-6714.html,3526808,,,,,,,,0.37KG,￥28.0
森森静音增氧泵氧气泵增氧机YT-301C单孔,,,4.8,17,1,//img-new.boqiicdn.com/Data/Shop/0/67/6715/shoppicpath11562642116_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,增氧泵,https://shop.boqii.com/product-6715.html,3526809,,,,,,,,0.35KG,￥26.0
森森 鱼缸多功能潜水内置过滤器JP-022F  90cm以内鱼缸适用,,,4.5,10,3,//img-new.boqiicdn.com/Data/Shop/0/67/6716/shoppicpath11561607878_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-6716.html,3526810,,,,,,,,0.38KG,￥28.0
森森 鱼缸多功能潜水内置过滤器JP-023F 1.2m以内鱼缸适用,,,4.9,8,0,//img-new.boqiicdn.com/Data/Shop/0/67/6717/shoppicpath11562830841_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-6717.html,3526811,,,,,,,,0.53KG,￥37.7
森森 鱼缸内置过滤器JP-024F 1.5m以内鱼缸适用,,,5.0,4,0,//img-new.boqiicdn.com/Data/Shop/0/67/6718/shoppicpath11562830942_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-6718.html,3526812,,,,,,,,0.63KG,￥45.5
森森潜水泵微型家用水族小水泵潜水泵HJ1541,,,5.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/67/6719/shoppicpath11546833362_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-6719.html,3526813,,,,,,,,0.72KG,￥48.4
森森JVP冲浪泵鱼缸水族箱造浪泵单双头打浪泵静音吸盘造流泵,,,4.9,9,0,//img-new.boqiicdn.com/Data/Shop/0/67/6721/shoppicpath11563257107_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-6721.html,3526814,,,,,,,,0.76KG,￥29.8
森森 水妖精高性能气动过滤器过滤棉蕊JX-01A,¥5.00,¥5.59,5.0,3,0,//img-new.boqiicdn.com/Data/Shop/0/67/6723/shoppicpath11563247529_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,滤材,https://shop.boqii.com/product-6723.html,3526816,,,,,,,,0.02KG,￥5.6
法国维克Virbac 爱乐滴 犬猫皮肤病滴剂,¥174.00,¥191.40,4.9,314,3,//img-new.boqiicdn.com/Data/Shop/0/70/7005/shoppicpath11540871347_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,皮肤治疗,https://shop.boqii.com/product-7005.html,175609,,,,体重,,,,0.20KG,￥191.4
法国维克Virbac 爱乐滴 犬猫皮肤病滴剂  >10kg适用 4ml*6支装 猫癣皮肤病修复 法国进口,¥208.00,¥228.80,4.9,272,0,//img-new.boqiicdn.com/Data/Shop/0/70/7006/shoppicpath11540871374_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,皮肤治疗,https://shop.boqii.com/product-7006.html,175610,,,,大型犬猫,,,,0.06KG,￥228.8
法国维克Virbac 猫狗通用耳漂耳部护理 125ml 清洁耳道除耳螨 法国进口,¥132.00,¥145.20,5.0,6205,1,//img-new.boqiicdn.com/Data/Shop/0/70/7007/shoppicpath11539746188_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7007.html,175611,,,,犬猫通用,,,24个月,0.10KG,￥145.2
法国维克Virbac 猫狗耳漂耳部护理洗耳液 60ml 清洁耳道去耳螨 法国进口,¥89.00,¥97.90,5.0,2439,4,//img-new.boqiicdn.com/Data/Shop/0/70/7008/shoppicpath11540539602_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7008.html,175612,,,,犬猫,,,2年,0.08KG,￥97.9
法国维克Virbac 犬猫益口清洁牙液 250ml 漱口水改善口臭 法国进口,¥123.00,¥135.30,4.9,713,4,//img-new.boqiicdn.com/Data/Shop/0/70/7009/shoppicpath11548841012_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7009.html,215613,,,,犬猫,,,2年,0.30KG,￥135.3
法国维克Virbac 猫狗复合酶牙膏套装牙刷牙膏 70g 去牙菌斑 清新口气 法国进口,¥116.00,¥127.60,5.0,1267,2,//img-new.boqiicdn.com/Data/Shop/0/70/7010/shoppicpath11540885476_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7010.html,215614,,,,犬猫,,,36个月,0.14KG,￥127.6
法国维克Virbac C.E.T.小型犬清洁齿片 224g 抑菌去口臭 法国进口,¥48.00,¥52.80,4.9,1065,0,//img-new.boqiicdn.com/Data/Shop/0/70/7012/shoppicpath11586934721_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7012.html,115616,,,,小型犬,,,2年,0.28KG,￥52.8
法国维克Virbac 犬猫怀孕哺乳术后营养补充营养膏 120.5g 法国进口,¥95.00,¥104.50,4.9,1690,4,//img-new.boqiicdn.com/Data/Shop/0/70/7015/shoppicpath11539746216_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,综合营养,https://shop.boqii.com/product-7015.html,155619,,,,犬猫通用,,,24个月,0.14KG,￥104.5
法国维克Virbac 必除项圈 狗狗体外驱虫防跳蚤 法国进口,¥80.00,¥88.00,5.0,2203,5,//img-new.boqiicdn.com/Data/Shop/0/70/7016/shoppicpath11540871079_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-7016.html,215620,,,,犬,,,2年,0.05KG,￥88.0
凯莉幼年草垫 小宠用品 KY76,¥6.50,¥7.80,4.8,19,0,//img-new.boqiicdn.com/Data/Shop/0/70/7029/shoppicpath11563256923_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,用具,https://shop.boqii.com/product-7029.html,3427811,,,,,,,,0.08KG,￥7.8
凯莉 全营养优质龙猫粮2.5kg KY10,¥31.50,¥38.74,4.8,16,0,//img-new.boqiicdn.com/Data/Shop/0/70/7031/shoppicpath11561521362_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,龙猫,龙猫粮,https://shop.boqii.com/product-7031.html,3427813,,,,,,,,2.50KG,￥38.7
质量PVC兔子/天竺鼠脚垫单块可拼接150g,,,4.3,30,2,//img-new.boqiicdn.com/Data/Shop/0/71/7174/picpath11367989982_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,用具,https://shop.boqii.com/product-7174.html,3428703,,,,,,,,0.15KG,￥4.7
森森 壁挂式过滤器HBL系列瀑布过滤泵,,,4.7,75,1,//img-new.boqiicdn.com/Data/Shop/0/71/7193/shoppicpath11561528220_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-7193.html,35268103,,,,,,,,0.52KG,￥24.7
森森HQJ-500G多功能潜水泵 2.5W（3542294HR320水泵）,,,4.7,3,0,//img-new.boqiicdn.com/Data/Shop/0/71/7194/shoppicpath11561614875_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7194.html,35268104,,,,,,,,0.20KG,￥19.2
森森 HQJ-700G 潜水泵/上部过滤器,,,5.0,5,0,//img-new.boqiicdn.com/Data/Shop/0/71/7195/shoppicpath11561615046_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7195.html,35268105,,,,,,,,0.29KG,￥24.8
森森 多功能潜水泵HQJ-900G 过滤器12W,,,5.0,3,1,//img-new.boqiicdn.com/Data/Shop/0/71/7196/shoppicpath11561615090_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7196.html,35268106,,,,,,,,0.43KG,￥31.2
森森 鱼缸外置过滤桶HW-302 1米以内鱼缸适用,¥205.00,¥205.50,5.0,4,0,//img-new.boqiicdn.com/Data/Shop/0/71/7197/shoppicpath11423122078_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-7197.html,35268107,,,,,,,,4.30KG,￥205.5
森森 鱼缸外置过滤桶HW-303B带UV紫外线菌灯 1.2m以内鱼缸适用,,,4.6,104,3,//img-new.boqiicdn.com/Data/Shop/0/71/7198/shoppicpath11562830089_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-7198.html,35268108,,,,,,,,6.20KG,￥350.0
森森 鱼缸外置过滤桶HW-603 不带动力源 60cm以内鱼缸适用,,,5.0,3,0,//img-new.boqiicdn.com/Data/Shop/0/71/7199/shoppicpath11563257959_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-7199.html,35268109,,,,,,,,0.82KG,￥65.1
森森 鱼缸外置过滤桶带动力HW-603B 60cm以内鱼缸适用,,,4.6,48,2,//img-new.boqiicdn.com/Data/Shop/0/72/7200/shoppicpath11563258021_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,过滤器,https://shop.boqii.com/product-7200.html,35268110,,,,,,,,1.68KG,￥102.3
森森JP-1500GS多功能潜水泵30w带加长管,,,5.0,1,2,//img-new.boqiicdn.com/Data/Shop/0/72/7201/shoppicpath11562831312_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7201.html,35268111,,,,,,,,0.71KG,￥55.8
怡亲Yoken 贵族薄纱裙连衣裙秋冬装 狗衣服,,,4.7,24,3,//img-new.boqiicdn.com/Data/Shop/0/72/7246/picpath11364637011_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗衣服/狗窝,宠物服装,https://shop.boqii.com/product-7246.html,3625637,,,,,,,,0.30KG,￥40.0
怡亲Yoken 时尚韩版蝴蝶结带领巾可爱装秋冬装 狗衣服,,,1.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/72/7261/picpath11364639282_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗衣服/狗窝,宠物服装,https://shop.boqii.com/product-7261.html,3625652,,,,,,,,0.30KG,￥50.0
怡亲Yoken 木耳花边牛仔短裙秋冬装 狗衣服,,,5.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/72/7272/picpath31366363462_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗衣服/狗窝,宠物服装,https://shop.boqii.com/product-7272.html,3625663,,,,,,,,0.30KG,￥50.0
怡亲Yoken 便携式带帽狗雨衣 狗衣服,,,4.4,34,2,//img-new.boqiicdn.com/Data/Shop/0/72/7286/picpath11364639827_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,服装饰品,https://shop.boqii.com/product-7286.html,3625677,,,,,,,,0.11KG,￥34.8
金赏Golden 金枪鱼虾仁味猫罐头 170g,¥4.15,¥4.60,4.9,1913,1,//img-new.boqiicdn.com/Data/Shop/0/72/7294/shoppicpath11517208626_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7294.html,1412215,170g,,,全猫,,金枪鱼+虾仁,6个月以上,0.22KG,￥4.6
金赏Golden 金枪鱼凤尾鱼味猫罐头 170g,¥4.15,¥4.60,4.9,1454,0,//img-new.boqiicdn.com/Data/Shop/0/72/7295/shoppicpath11517798600_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7295.html,1412216,170g,,,全猫,,金枪鱼+鳀鱼味,6个月以上,0.21KG,￥4.6
carno 木质仓鼠玩具用品 秋千 隧道 翘翘筒 迷宫 窝,¥7.00,¥7.28,4.5,113,0,//img-new.boqiicdn.com/Data/Shop/0/73/7311/shoppicpath11393303004_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,玩具,https://shop.boqii.com/product-7311.html,344501,,,,,,,,0.89KG,￥7.3
怡亲Yoken 嫩粉白条间隔带帽雨衣 狗衣服,,,3.5,2,1,//img-new.boqiicdn.com/Data/Shop/0/73/7324/picpath11366528270_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,服装饰品,https://shop.boqii.com/product-7324.html,3625685,,,,,,,,0.06KG,￥46.8
MAG 贵宾泰迪专用天然虾红素 60片  美毛增色 增强免疫力,¥98.00,¥117.60,4.9,260,4,//img-new.boqiicdn.com/Data/Shop/0/73/7391/shoppicpath11615965906_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,美毛护肤,https://shop.boqii.com/product-7391.html,1630301,,,,棕红色泰迪及毛发为深色犬种,,,24个月,0.09KG,￥117.6
MAG 犬用蓝莓精华素 400g 明眸亮眼 美毛靓肤,¥128.00,¥153.60,5.0,186,1,//img-new.boqiicdn.com/Data/Shop/0/73/7392/shoppicpath11615966054_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,美毛护肤,https://shop.boqii.com/product-7392.html,1630302,,,,全犬,,,24个月,0.48KG,￥153.6
MAG 犬用配方海藻美毛粉 400g 提亮黑鼻头保护皮肤,¥98.00,¥129.60,4.9,650,2,//img-new.boqiicdn.com/Data/Shop/0/73/7393/shoppicpath11616570367_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,美毛护肤,https://shop.boqii.com/product-7393.html,1630303,,,,全犬,,,24个月,0.49KG,￥129.6
MAG 犬用超能钙鲨鱼软骨粉400g 骨骼发育保护关节,¥88.00,¥102.00,4.9,1505,1,//img-new.boqiicdn.com/Data/Shop/0/73/7394/shoppicpath11615194349_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,补钙健骨,https://shop.boqii.com/product-7394.html,1630304,,,,犬,,,2年,0.49KG,￥102.0
MAG 全犬用金维他补充微量元素 300片 营养补充,¥129.00,¥141.90,4.9,519,4,//img-new.boqiicdn.com/Data/Shop/0/73/7395/shoppicpath11616570095_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,综合营养,https://shop.boqii.com/product-7395.html,1630305,,,,全犬,,,24个月,0.47KG,￥141.9
MAG 幼犬猫山羊奶粉 400g 怀孕猫狗促进发育,¥98.00,¥114.00,4.8,1626,17,//img-new.boqiicdn.com/Data/Shop/0/73/7396/shoppicpath11616570475_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,综合营养,https://shop.boqii.com/product-7396.html,1630306,,,,幼犬猫,,,24个月,0.49KG,￥114.0
MAG 犬猫用关节生黄金版60片 修复骨折 补充钙质,¥88.00,¥102.00,5.0,3293,2,//img-new.boqiicdn.com/Data/Shop/0/73/7397/shoppicpath11616570221_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,保健营养,补钙健骨,https://shop.boqii.com/product-7397.html,1630307,,,,犬猫通用,,,24个月,0.10KG,￥102.0
顽皮Wanpy happy100鸡肝鸡肉蔬菜成犬鲜封包狗湿粮 70g,¥2.80,¥3.10,4.9,804,0,//img-new.boqiicdn.com/Data/Shop/0/74/7428/shoppicpath21532917113_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-7428.html,112586,70g,,,1周岁以上犬,,鸡肉鸡肝+蔬菜,24个月,0.08KG,￥3.1
顽皮Wanpy happy100牛肉午餐肉成犬鲜封包狗湿粮 70g,¥2.80,¥3.10,4.9,1120,0,//img-new.boqiicdn.com/Data/Shop/0/74/7429/shoppicpath11532917286_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-7429.html,112587,70g,,,1周岁以上犬,,牛肉,24个月,0.07KG,￥3.1
