用户昵称,评分,内容,商品链接
小***袄,5分,默认好评  ,https://shop.boqii.com/product-5962.html
m***9,5分,这个尺寸放在大号猫别墅里正合适，质量也好。  ,https://shop.boqii.com/product-5963.html
m***0,5分,商品不错，本来给柯基宝宝的，柯基太闹腾还是留着给即将到来的泰迪宝宝吧。  ,https://shop.boqii.com/product-5963.html
m***7,4分,用料有点单薄，感觉用不久，草皮掉渣渣，狗狗不喜欢用！  ,https://shop.boqii.com/product-5963.html
大***黄,5分,看着挺好的，没用呢，看看宝宝愿不愿意在上面厕所  ,https://shop.boqii.com/product-5963.html
叼***生,5分,还可以  ,https://shop.boqii.com/product-5963.html
团***妈,5分,感谢客服和快递员的热心耐心与爱心，你们辛苦了，这个给狗狗用的厕所也非常好  ,https://shop.boqii.com/product-5963.html
m***4,5分,挺好的  ,https://shop.boqii.com/product-5963.html
猫***7,5分,物美价廉 虽然有点薄 但是不影响使用 下面有四个脚垫还能防滑  ,https://shop.boqii.com/product-5963.html
a***z,5分,以为有个草坪她会感兴趣，还是不拉不尿。。。  ,https://shop.boqii.com/product-5963.html
s***3,5分,买的L号，厕所比想像的大。看着还行，就是狗狗还不愿意上。  ,https://shop.boqii.com/product-5963.html
T***e,5分,草皮不太有用垫狗窝了，昨天刚到货就给狗狗用了，挺好的，有点小贵  ,https://shop.boqii.com/product-5963.html
乖***麻,5分,我家狗狗就喜欢在这种毯子上拉，不用教自己跑过去拉了，很好。  ,https://shop.boqii.com/product-5963.html
m***5,5分,默认好评  ,https://shop.boqii.com/product-5963.html
豆***妞,5分,秒杀的，东西吃的放心，老客户了。一直回购。  ,https://shop.boqii.com/product-6091.html
m***1,5分,@这个已经回购了好几次了，做活动的时候买比较划算，狗狗挺喜欢吃的，闻起来很好闻  ,https://shop.boqii.com/product-6091.html
桔***玲,5分,经济实惠，家里狗狗4只，买这个磨牙挺好，香香的！  ,https://shop.boqii.com/product-6091.html
小***儿,5分,不错的零食，奶味很重 鸡腿很喜欢，作为饭后零食奖励他，训练也是杠杠的！喜欢  ,https://shop.boqii.com/product-6091.html
V***y,5分,还可以 狗子不是很爱吃 还不太会磨牙?  ,https://shop.boqii.com/product-6091.html
?***常,5分,折扣的时候囤的，价格实惠，一次一个当小零食刚好  ,https://shop.boqii.com/product-6091.html
m***6,5分,这次买的价钱竟然相当于以前买过的半价，看来活动力度的确是相当大，后悔之前囤多了  ,https://shop.boqii.com/product-6091.html
w***y,5分,上次买的鸡肉味狗狗很喜欢 这次买牛奶味试试  ,https://shop.boqii.com/product-6091.html
m***3,5分,虽然狗子还未到包装上写的可喂食月龄，给它尝了一根，吃的可欢畅了  ,https://shop.boqii.com/product-6091.html
m***8,5分,一口一个，有一点点奶味。我家俩个主子都很爱吃。平时遛完回家给一个。  ,https://shop.boqii.com/product-6091.html
小***丑,5分,很好的东西，一直购买，家里的狗一次要吃三，四个  ,https://shop.boqii.com/product-6091.html
m***7,5分,超好，我就糖宝爱吃，吃了没有什么不良反应，双十一搞活动买的，很划算  ,https://shop.boqii.com/product-6091.html
铁***妹,5分,我家逗妹儿很喜欢的一款零食 每次吃都超开心（没起子）  ,https://shop.boqii.com/product-6091.html
m***1,5分,好好好好休息一下。我也不知道你的意思了。我也不知道你的意思了。我也不知道你的意思了。我  ,https://shop.boqii.com/product-6092.html
初***二,5分,很划算！这个平台最近才知道，哈哈哈，再也不用担心品牌的问题了～相信平台！  ,https://shop.boqii.com/product-6092.html
闹***肥,5分,发货速度快，包装完整，日期新鲜，狗狗很爱吃，活动价入手，很满意！  ,https://shop.boqii.com/product-6092.html
m***4,5分,狗子还挺爱吃，就是这骨头表面有点油油的感觉  ,https://shop.boqii.com/product-6092.html
m***0,5分,味道不错，闻着没有臭臭的感觉，狗狗也要吃，总体感觉还是很不错的  ,https://shop.boqii.com/product-6092.html
m***1,5分,服务质量好，态度热情，值得推荐！掌柜发货很及时，谢谢啦！  ,https://shop.boqii.com/product-6092.html
m***3,5分,买了两次了三只都很爱吃  ,https://shop.boqii.com/product-6092.html
m***3,5分,还行有一只不爱吃其他两爱吃  ,https://shop.boqii.com/product-6092.html
熊***肉,5分,好  ,https://shop.boqii.com/product-6092.html
咪***咪,5分,家里有狗狗的，没事就要多买点磨牙棒给狗狗！这个牌子的磨牙棒不错，囤货  ,https://shop.boqii.com/product-6092.html
妞***2,5分,宝贝很喜欢吃这个，还会回购  ,https://shop.boqii.com/product-6092.html
傻***嘟,5分,一个字好，两个字很好，三个字太好了！哈哈……  ,https://shop.boqii.com/product-6092.html
m***4,5分,挺不错的。我家狗子很喜欢。买了很多次了。给个赞  ,https://shop.boqii.com/product-6092.html
m***7,5分,真香啊……刚装盘都迫不及待了要吃了? 真香啊……刚装盘都迫不及待了要吃了? 真香啊……刚装盘都迫不及待了要吃了?  ,https://shop.boqii.com/product-6124.html
喵***呜,5分,很好的，买来喂楼下流浪猫的，太多了，一大袋也吃不了多久，但是算很便宜了。  ,https://shop.boqii.com/product-6124.html
m***9,5分,好大一代子，可以吃很久了。以前用小包装，这个季节买一大代不会坏，优惠有保障。  ,https://shop.boqii.com/product-6124.html
嘎***子,5分,这款不同口味的买了好几次了，性价比高，流浪猫太多太能吃了，幸好有波奇做活动，不然真的喂不起了。  ,https://shop.boqii.com/product-6124.html
m***3,5分,买了很多次了，这款猫粮的性价比还是很高的。是给流浪猫吃的。  ,https://shop.boqii.com/product-6124.html
m***3,5分,速度挺快的，给流浪猫吃的，挺划算，比某宝上便宜不少，点赞（｡ò ∀ ó｡）  ,https://shop.boqii.com/product-6124.html
龙***苗,5分,好之味这款猫粮之前一直买的，年前公司的猫猫很爱吃，现买给楼下的孩子吃，应该爱吃！  ,https://shop.boqii.com/product-6124.html
l***2,5分,活动得到券99-50买的 开心死我了 以前一直买珍宝喜多鱼掺喜乐比 现在买这个掺喜乐比试试 吃的不错的话会长期回购 流浪猫们的福音  ,https://shop.boqii.com/product-6124.html
丙***丙,5分,买了很多年的猫粮，喂流浪猫，猫咪喜欢，送货快！  ,https://shop.boqii.com/product-6124.html
豆***妈,5分,小区流浪猫多粮罐头消耗快，秒杀价很实惠，经常买买买  ,https://shop.boqii.com/product-6124.html
m***4,5分,小区猫咪的很好口粮，多年坚持，并且猫咪健康  ,https://shop.boqii.com/product-6124.html
m***3,5分,喂流浪猫吃的，天寒地冻的希望流浪猫能有口吃的。  ,https://shop.boqii.com/product-6124.html
丙***丙,5分,猫粮非常好，猫咪喜欢吃，快递送货很快，赞!  ,https://shop.boqii.com/product-6124.html
m***1,5分,感谢红包雨，正好需要就赶上活动了，挺好的，用一阵子不成问题  ,https://shop.boqii.com/product-6310.html
m***7,5分,还好我手指细。挺好的，很实惠，给个好评先。  ,https://shop.boqii.com/product-6310.html
m***7,5分,用了一下还不错，猫咪指甲剪好小啊哈哈哈哈。  ,https://shop.boqii.com/product-6310.html
m***4,5分,评价我是认真的，物美价廉，就是照片糊了点哈哈  ,https://shop.boqii.com/product-6310.html
m***4,5分,这个剪指甲刀很好用，给好评，有机会会回购的。  ,https://shop.boqii.com/product-6310.html
晴***包,5分,看着不错，挺小巧的，还没用，也不知道小猫愿不愿意剪  ,https://shop.boqii.com/product-6310.html
G***n,5分,效率很快，2天就到了，剪刀很锋利，很实用，非常满意。  ,https://shop.boqii.com/product-6310.html
兮***5,5分,刚到货，还没给主子们用，看着挺好，用完再来评价，嘿嘿  ,https://shop.boqii.com/product-6310.html
彩***月,5分,宝贝收到了，物流很快，活动购买了，非常划算，还会继续光顾的  ,https://shop.boqii.com/product-6310.html
彩***月,5分,宝贝收到了，物流很快，包装完好，还没有投入使用，非常信赖波奇，一直在此给我家小主子们买买买O(∩_∩)O  ,https://shop.boqii.com/product-6310.html
w***言,5分,团价拍到还包邮！真心物超所值，老开森了!！品质如图所见，刀头不绣钢相当的锋利，大小精小适合女孩子握持。收到立马给小宝宝剪指甲了，好剪！稍微有点紧希望用用好点，满意满意给我猫小孙孙备用的。  ,https://shop.boqii.com/product-6310.html
青***2,5分,价格很低的一款剪刀吧。拿到手后实物看起来还是很不错的，算得上物美价廉。第一次在波奇网购物感觉相当的实惠，发货速度也很快。隔天就能收到 哈哈哈 赞！  ,https://shop.boqii.com/product-6310.html
丁***P,5分,小巧玲珑的一把可爱剪子  ,https://shop.boqii.com/product-6310.html
点***大,5分,买错了，等猫猫长大后才能吃。  ,https://shop.boqii.com/product-6325.html
m***9,5分,品质优良，价格实惠，配送快速，萌宠囤货首选  ,https://shop.boqii.com/product-6325.html
m***0,5分,我的猫猫特别喜欢吃，就能在优惠活动中多买点  ,https://shop.boqii.com/product-6325.html
钢***友,5分,一直吃，总好奇为什么这个这么大吸引力，从小就爱吃  ,https://shop.boqii.com/product-6325.html
豆***妈,5分,猫猫非常爱吃，夏天热缺水多吃湿粮改善伙食，十元三包也优惠会继续回购  ,https://shop.boqii.com/product-6325.html
m***9,5分,性价比超高 多次购买  ,https://shop.boqii.com/product-6325.html
加***4,5分,优惠力度真大，每次购物都能刮出优惠券！服务也特别好！买了很多次了！  ,https://shop.boqii.com/product-6325.html
m***6,5分,第二次买，跟干猫粮拌在一起给喵喵吃，它很喜欢，好！！  ,https://shop.boqii.com/product-6325.html
m***4,5分,送货很快 一直在波奇买 猫咪爱吃  ,https://shop.boqii.com/product-6325.html
m***2,5分,波奇上买猫粮 便宜还放心 就是发货速度比较慢 不过都是提前买 也不急  ,https://shop.boqii.com/product-6325.html
大***猫,5分,维嘉妙鲜包我们一直买的，猫猫忘不了这个味道，给他改善伙食，他好高兴！  ,https://shop.boqii.com/product-6325.html
耶***翠,5分,发货送货快。流浪猫咪们喜欢吃。包装不太好。两包都漏汁。黏的到处都是。  ,https://shop.boqii.com/product-6325.html
加***）,5分,"很赞,猫猫很爱吃,已经买了好多回了.价格实惠.以后还会来买.  ",https://shop.boqii.com/product-6325.html
龙***苗,5分,伟嘉湿粮还是蛮受毛孩子欢迎的，一会就吃完了  ,https://shop.boqii.com/product-6326.html
m***9,5分,性价比超高 多次购买了  ,https://shop.boqii.com/product-6326.html
m***2,5分,波奇上买猫粮 便宜还放心 就是发货速度比较慢 不过都是提前买 也不急  ,https://shop.boqii.com/product-6326.html
大***猫,5分,维嘉妙鲜包我们一直买的，猫猫忘不了这个味道，给他改善伙食，他好高兴！  ,https://shop.boqii.com/product-6326.html
加***）,5分,"很赞,猫猫很爱吃,已经买了好多回了.价格实惠.以后还会来买.  ",https://shop.boqii.com/product-6326.html
2***6,5分,发货好快！和超市的一样，价格却便宜很多，以后我家俩猫宝的食物就在波奇买了，超满意！  ,https://shop.boqii.com/product-6326.html
p***3,5分,总共买了五包，破了两包，连带买的大妙外面全是汤，不知道什么时候破的，打开后家里的猫不吃，给流浪猫吃了  ,https://shop.boqii.com/product-6326.html
m***5,5分,"这个一直是我家猫咪最爱吃的湿粮，Bianca有点小挑嘴，只有这个能满足她，嘿嘿！各种口味都买了。很欢乐的在吃呢！btw, 日期也很新鲜！  ",https://shop.boqii.com/product-6326.html
1***m,5分,一般，没头一次那么喜欢，冲过来问问就走了。  ,https://shop.boqii.com/product-6326.html
z***2,5分,希望一直保持优惠价，第一次购买全5分好评！  ,https://shop.boqii.com/product-6326.html
赵***懒,5分,东西不错，老板还送了试用装，快递也很给力，下次还光顾  ,https://shop.boqii.com/product-6326.html
赵***懒,5分,东西不错，老板还送了试用装，快递也很给力，下次还光顾  ,https://shop.boqii.com/product-6326.html
i***1,5分,默认好评  ,https://shop.boqii.com/product-6326.html
李***0,5分,这个牌子不错，之前用过，不错，秒杀，价格可以。  ,https://shop.boqii.com/product-6397.html
娜***子,5分,收到了，速度挺快，这款口碑不错，买来试试。  ,https://shop.boqii.com/product-6397.html
点***妈,5分,抢购活动，物美价廉，值得购买，是一次好的购物  ,https://shop.boqii.com/product-6397.html
娜***子,5分,牌子不错，回购多次，用的挺好的。  ,https://shop.boqii.com/product-6397.html
m***9,5分,不错不错，就是不太好抽出来，但能用就行了  ,https://shop.boqii.com/product-6397.html
6***7,5分,牌子不错，回购多次，好用，  ,https://shop.boqii.com/product-6397.html
娜***子,5分,品牌不错，买来试试，比较放心质量。  ,https://shop.boqii.com/product-6397.html
娜***子,5分,口碑不错，买来试一试  ,https://shop.boqii.com/product-6397.html
娜***子,5分,朋友推荐说不错，买来试一试。  ,https://shop.boqii.com/product-6397.html
累***爸,5分,超级好用的湿巾，效果不错，品牌值得信赖  ,https://shop.boqii.com/product-6397.html
娜***子,5分,听朋友说不错，买来给狗子试试。  ,https://shop.boqii.com/product-6397.html
一***猫,5分,很好很爱玩很结实很好很爱玩很结实很好很爱玩很结实  ,https://shop.boqii.com/product-6397.html
柯***酱,5分,拿出来不是很方便，其他都还好，清洁力也不错  ,https://shop.boqii.com/product-6397.html
牛***州,5分,包装不错！质量可以！摸着手感不错！还没给猫咪用！用了再来追评！  ,https://shop.boqii.com/product-6409.html
金***仔,5分,薅羊毛加上红包，真是在波奇上又收货满满的一次，吃的东西哪怕我家猫猫不吃，去喂流浪猫猫也开心。用的东西薅羊毛更是欢快的很  ,https://shop.boqii.com/product-6409.html
L***2,5分,非常好，猫咪喜欢?，是我试过的所有梳子中最适合我家猫咪用的好东西了。  ,https://shop.boqii.com/product-6409.html
m***6,5分,好好好，给小泰迪开结用，超级棒的说！我喜欢，好用  ,https://shop.boqii.com/product-6409.html
L***儿,5分,梳子很好用 宽窄都有很实用 而且也挺好看的  ,https://shop.boqii.com/product-6409.html
螃***的,5分,精致漂亮的梳子 活动买的很划算么么哒。这个牌子的不错  ,https://shop.boqii.com/product-6409.html
姐***2,5分,手感挺好的，应该不错……  ,https://shop.boqii.com/product-6409.html
我***圈,5分,这次发货的速度很快 希望波奇一如既往的很好.宝贝很喜欢！  ,https://shop.boqii.com/product-6409.html
我***圈,5分,这次发货的速度很快 希望波奇一如既往的很好.宝贝很喜欢！  ,https://shop.boqii.com/product-6409.html
萱***4,5分,很好的梳子，质量不错，给狗狗试了一下很好用  ,https://shop.boqii.com/product-6409.html
玻***园,5分,刚收到货，还挺满意的！商家和物流服务态度都挺好的。  ,https://shop.boqii.com/product-6409.html
m***7,5分,默认好评  ,https://shop.boqii.com/product-6409.html
m***9,5分,默认好评  ,https://shop.boqii.com/product-6409.html
土***薯,5分,好用，之前的破梳子梳不下来毛，这个梳子一下就梳了一团  ,https://shop.boqii.com/product-6411.html
小***卡,5分,已经挺大一个的 其实没多大 家里狗狗6斤 这个大小也不错  ,https://shop.boqii.com/product-6411.html
m***1,5分,哈哈，狗子大了，梳子买小了。本来买一个备用，看来还要来买一次  ,https://shop.boqii.com/product-6411.html
药***货,5分,蛮喜欢的，感觉针好尖啊，也不知道梳起来疼不。要轻轻的梳感觉好点。我觉得这适合给毛特别长的狗子梳毛可以，挨着皮肤感觉疼。  ,https://shop.boqii.com/product-6411.html
可***壮,5分,感觉质量什么的都可以，第一次在波奇上买东西，没有失望，特别满意  ,https://shop.boqii.com/product-6411.html
丸***～,5分,东西不错，买的小号的，不过对于一只普通的串串应该是够了吧，星期六带去父母家给它用用  ,https://shop.boqii.com/product-6411.html
m***z,5分,刮刮卡抽到一个剃毛刀 然后这些都是凑单的 哈哈哈  ,https://shop.boqii.com/product-6411.html
m***8,5分,买小了，M码看着好小，为什么照片这么大呢？  ,https://shop.boqii.com/product-6411.html
l***姐,5分,好好好好好好好好好好好  ,https://shop.boqii.com/product-6411.html
夏***i,5分,我家狗子喜欢，很奈斯，推荐购买~  ,https://shop.boqii.com/product-6411.html
旺***́,5分,我家小型犬   用着刚刚好     很合适  ,https://shop.boqii.com/product-6411.html
E***a,5分,小小的一个，特别可爱的小刷子  ,https://shop.boqii.com/product-6411.html
m***6,5分,还没来得及用 希望可以多用一下 让狗狗少掉毛  ,https://shop.boqii.com/product-6411.html
蛋***球,5分,不错不错 蛮好的呦 我家狗子蛮喜欢 物有所值 开森^_^  ,https://shop.boqii.com/product-6414.html
汤***君,5分,指甲刀好用就就是狗子不太配合得两个人动手哈哈总之价格始终品质不错哦  ,https://shop.boqii.com/product-6414.html
m***6,5分,这个买来没用就被没素质的人拿走了，所以不知道好不好用！  ,https://shop.boqii.com/product-6414.html
m***6,5分,不错，拿起来很稳，剪起来也很流畅，之前买的便宜指甲钳，用起来很卡顿，这个稳定很多  ,https://shop.boqii.com/product-6414.html
m***9,5分,非常好，但是还没用，害怕给狗狗剪疼了，也现在完全是被两只狗狗俘虏了，超爱我家的两个小雪  ,https://shop.boqii.com/product-6414.html
玄*,5分,小剪子不错，虽然狗子也不配合，每次剪指甲如同戏精上了身  ,https://shop.boqii.com/product-6414.html
A***l,5分,客服服务实在是太好了...以后东西都在这里买  ,https://shop.boqii.com/product-6414.html
大***黄,5分,挺好的  ,https://shop.boqii.com/product-6414.html
m***7,5分,挺锋利的，就是不知道怎么剪，剪了2个指头就不让剪了  ,https://shop.boqii.com/product-6414.html
泪***痕,5分,使用方便  ,https://shop.boqii.com/product-6414.html
m***7,5分,还不错，就是我家狗狗不配合，剪指甲和要命似的  ,https://shop.boqii.com/product-6414.html
v***g,4分,一般般，剪指甲还是会把猫咪的指甲剪碎，就是比较顺手了  ,https://shop.boqii.com/product-6414.html
彩***泡,5分,猫零食收到了活动买的很划算么么哒猫咪喜欢吃。  ,https://shop.boqii.com/product-6414.html
m***丁,5分,这个买的第三个了，主子很喜欢玩，两个主子一大一小抢着玩，软软的  ,https://shop.boqii.com/product-6457.html
美***知,5分,颜色很漂亮 里面还有响的声音 可以 反正打折买的  ,https://shop.boqii.com/product-6457.html
m***3,5分,  ,https://shop.boqii.com/product-6457.html
m***4,5分,猫咪很喜欢 因为我家猫是高破坏力猫咪哈哈哈 所以我时不时都会来购置玩具 价格划算 质量不错 含满意  ,https://shop.boqii.com/product-6457.html
m***5,5分,还行，我家破坏力不强，那么长时间了还没散开  ,https://shop.boqii.com/product-6457.html
崽***吗,5分,超级喜欢，就是已经被主子快拆完了_(´ཀ`」 ∠)_  ,https://shop.boqii.com/product-6457.html
果***军,5分,颜色好看，球不算小，狗狗也可以玩，里面会发出声响，预留的毛线也很长  ,https://shop.boqii.com/product-6457.html
龙***苗,5分,毛线球是给毛孩子的，猫孩子就喜欢圆的玩物  ,https://shop.boqii.com/product-6457.html
圆***3,5分,猫猫快要疯了……太上瘾了开心啦啦啦啦啦啦啦  ,https://shop.boqii.com/product-6457.html
叮***喵,4分,没有我上次买的好 玩了一晚上外面的线就断了  ,https://shop.boqii.com/product-6457.html
y***欢,5分,质量不错 好看 就是咪咪不爱玩这个 不知道为什么  ,https://shop.boqii.com/product-6457.html
m***0,5分,还没有玩，看着挺可爱 有点薄荷味 准备过段时间再給猫玩  ,https://shop.boqii.com/product-6457.html
小***豆,5分,球球还会有声音的，会引起猫咪的主意，东西超级棒！给赞~  ,https://shop.boqii.com/product-6457.html
咪***宠,5分,喜乐比好的品牌商品的质量很好，好的商城商品价钱不贵，我喜欢在波奇购买商品  ,https://shop.boqii.com/product-6476.html
m***9,5分,一直购买波奇网的狗粮猫粮，物流快，质量好，味道好。  ,https://shop.boqii.com/product-6476.html
m***9,5分,狗狗特别爱吃这牌子的狗粮，好吸收消化。吃完再买。  ,https://shop.boqii.com/product-6476.html
m***8,5分,拉布拉多，饿死鬼投胎，喜欢得很哈哈新用户购买很划算  ,https://shop.boqii.com/product-6476.html
夏***。,5分,刚到，送回家爬上7楼，命都没了。好像狗子还挺喜欢的，没有怎么进行换食步骤，后来单独给了一把吃，没感觉不好，它是法牛。  ,https://shop.boqii.com/product-6476.html
贝***当,5分,囤货的还没开始喂，打算和皇家大幼的掺着喂。  ,https://shop.boqii.com/product-6476.html
m***3,5分,狗狗长大了，看着口碑不错，买来搭配其他食物食用还是不错的  ,https://shop.boqii.com/product-6476.html
米***y,5分,买了搭配吃的，大狗，狗粮消耗......这款性价比还是不错滴  ,https://shop.boqii.com/product-6476.html
翘***咪,5分,以后都买这个了  价钱便宜  狗狗又爱吃  就是吃了便便一天拉好多次  ,https://shop.boqii.com/product-6476.html
w***2,5分,虽然运费要48元，很坑，但是减了100就相对划算了，狗狗很爱吃。  ,https://shop.boqii.com/product-6476.html
m***6,5分,默认好评  ,https://shop.boqii.com/product-6476.html
m***5,5分,默认好评  ,https://shop.boqii.com/product-6476.html
m***9,5分,默认好评  ,https://shop.boqii.com/product-6476.html
m***5,5分,好好好好好好好好好好好好好好好好好好好好好好好好好好好  ,https://shop.boqii.com/product-6477.html
萨***崽,5分,这款狗粮是朋友推荐的！他家狗狗吃的还不错，我也买一袋给我家金毛吃，挺好的！挺爱吃的，我家金毛也不挑食，便便也正常，还会回购的！  ,https://shop.boqii.com/product-6477.html
二***基,5分,家里狗狗疑似怀孕，狗粮有一段时间吃的比之前都多，导致我双十一才买的12kg狗粮很快见底（还有流浪狗来库房吃的原因），急着买之前没吃过，听客服的推荐买了这款，之前的狗粮都不够换粮期实用，还好快递比较给力，没让狗狗断粮了。喜乐比狗粮目前狗狗一般般，没发现很爱吃也没有挑食的不吃，先吃吃看。  ,https://shop.boqii.com/product-6477.html
咪***宠,5分,家里狗主子一直喜欢吃喜乐比狗粮，价钱不贵质量超级好，  ,https://shop.boqii.com/product-6477.html
嘎***子,5分,买来喂流浪狗的，很信任这个牌子，也买同品牌的喂流浪猫，感觉都吃着不错。  ,https://shop.boqii.com/product-6477.html
爱***肉,5分,狗狗非常非常爱吃，自从吃了这个狗粮，狗狗毛色特别好  ,https://shop.boqii.com/product-6477.html
排***妈,5分,今天下单，第二天就送到了。快递杠杠的！一如既往的好  ,https://shop.boqii.com/product-6477.html
m***8,5分,拉布拉多，饿死鬼投胎，喜欢得很哈哈新用户购买很划算  ,https://shop.boqii.com/product-6477.html
脚***挠,5分,9月份的日期，还可以，活动价还可以，囤了两包。  ,https://shop.boqii.com/product-6477.html
爱***肉,5分,已经吃了快一年了，基本上一个月一袋，狗狗健康又聪明  ,https://shop.boqii.com/product-6477.html
爱***肉,5分,狗狗特别爱吃长的壮壮的，毛色也更加的亮泽了，非常好的狗粮。  ,https://shop.boqii.com/product-6477.html
m***5,5分,好大一袋，而且包装可以，物流进步了啊！两三天到了！  ,https://shop.boqii.com/product-6477.html
m***9,5分,这次买的狗粮，狗狗很爱吃，而且效果很好，吃完后活蹦乱跳的，很满意！  ,https://shop.boqii.com/product-6477.html
e***7,5分,"便宜哭,猫咪吃了后黑下巴居然慢慢没了,惊喜惊喜  ",https://shop.boqii.com/product-6478.html
m***3,5分,家里两个主子常吃的一款，配比科学，主子吃了毛顺油亮，也没有黑下巴，很棒！  ,https://shop.boqii.com/product-6478.html
m***0,5分,非常满意，猫咪爱吃，给流浪猫买的，家里有只猫也爱吃，没有过度，吃的很好，物美价廉，是流浪猫的福音，猫多，能吃饱  ,https://shop.boqii.com/product-6478.html
m***0,5分,很好的猫粮，一直吃到大，从来没换过，物流超快。  ,https://shop.boqii.com/product-6478.html
e***a,5分,买来给姐姐喂流浪猫的，按照蛋白质含量，喜乐比性价比比较高，长期喂小流量放心  ,https://shop.boqii.com/product-6478.html
咪***宠,5分,喜乐比好的品牌商品的质量很好，好的商城商品价钱不贵，我喜欢在波奇购买商品  ,https://shop.boqii.com/product-6478.html
嘎***子,5分,买来喂单位流浪猫的，进入冬天就涨价了，平均每斤涨了0.5元，但是猫猫喜欢吃，猫太多了，这个价格长期喂也算是尽我最大的努力了。  ,https://shop.boqii.com/product-6478.html
m***5,5分,好几层包装，确保卫生。楼下的流浪猫可以吃饱肚子了。  ,https://shop.boqii.com/product-6478.html
嘎***子,5分,单位的流浪猫流浪狗都爱吃这款猫粮，同款的狗粮它们倒是不爱吃，喜欢波奇多做活动，这样我就能在有限的经济中更多的帮助它们了。  ,https://shop.boqii.com/product-6478.html
m***5,5分,物流很快  猫猫一直很喜欢吃这个猫粮  好的都吃不来  ,https://shop.boqii.com/product-6478.html
m***4,5分,家里的猫出走了，在父亲去世当日回来过，第二天又走了，许久不回来，伤心，但还有院子里的野猫需要吃的，每次喂他们都吃完不挑，也许饿慌了，也许猫粮适口性好吧，谢谢有波奇这个网站平台，提供多样性选择  ,https://shop.boqii.com/product-6478.html
龙***苗,5分,看评价不错哦，也给楼下毛孩子们换换口味啦！  ,https://shop.boqii.com/product-6478.html
m***7,5分,波奇搞活动流浪猫有口福了，家猫也喜欢！喜乐比猫粮品质一直很好！感谢快递师傅送到家，辛苦了！  ,https://shop.boqii.com/product-6478.html
m***7,5分,喜乐比猫粮在波奇买了几年了，品质好，信得过！  ,https://shop.boqii.com/product-6478.html
m***3,5分,猫猫一直吃这款猫粮，毛色不错也没有泪痕，就很棒！！！  ,https://shop.boqii.com/product-6479.html
m***9,5分,买的最多的就是这款猫粮，院子里大大小小的流浪猫有十几只，有活动就多买点囤着，猫咪特别爱吃这款  ,https://shop.boqii.com/product-6479.html
咪***宠,5分,好的品牌商品的质量很好，好的商城商品价钱不贵，我喜欢在波奇购买商品  ,https://shop.boqii.com/product-6479.html
嘎***子,5分,一周之类这款猫粮18斤的，我买了三包了，一包买给家里楼下的流浪猫们，单位也囤了两包给单位的流浪猫们，生活不易，幸好波奇经常做活动帮忙省钱。  ,https://shop.boqii.com/product-6479.html
嘎***子,5分,买给单位流浪猫们吃的，单位也有流浪狗，同款喜乐比狗粮它不吃就爱吃猫粮，所以有时候也兑着其他狗粮一起喂了，吃的还行吧。  ,https://shop.boqii.com/product-6479.html
嘎***子,5分,买给家里楼下的流浪猫们吃的，单位也有好几只流浪猫，都是吃的喜乐比，波奇做活动也便宜，给它们长期喂这个也是尽我最大的努力了。  ,https://shop.boqii.com/product-6479.html
嘎***子,5分,家里有两只猫。外面还喂了九只流浪猫，波奇经常做活动，东西正品有保障还是很满意的。  ,https://shop.boqii.com/product-6479.html
m***1,5分,非常不错 希望一定要保证质量以后就会大量买 这次的先让喵喵吃着看看  ,https://shop.boqii.com/product-6479.html
m***7,5分,喜乐比猫粮一直在喂猫咪家猫和小流浪猫！它们都喜欢！  ,https://shop.boqii.com/product-6479.html
m***0,5分,非常满意，猫咪爱吃，物美价廉，给流浪猫多买一点  ,https://shop.boqii.com/product-6479.html
m***7,5分,好猫粮！秒杀价很划算！小流浪猫有口福了！它们很喜欢！  ,https://shop.boqii.com/product-6479.html
m***7,5分,这个猫粮品质好，好多年了都在波奇买！信任波奇！  ,https://shop.boqii.com/product-6479.html
八***猫,5分,家里猫猫吃这个之后拉便便没那么臭，感觉挺不错的，也爱吃，形状像甜甜圈一样?只敢在波奇买这个，不过下次可以分两箱打包吧，一个人拿不动一大箱  ,https://shop.boqii.com/product-6479.html
奶***汁,5分,收到了新来的拉拉吃的很欢，性价比不错适合大型犬吃，非常满意  ,https://shop.boqii.com/product-6480.html
泰***5,5分,这个还没吃，买来囤着的，小狗才十几天，家里一公一母泰迪都吃的玩赏犬的  ,https://shop.boqii.com/product-6480.html
泽***哒,4分,看着还不错，家里最近屯的货有点多，等我家狗子吃后再来评价  ,https://shop.boqii.com/product-6480.html
m***2,5分,挺好的，准备以后一直用这款  ,https://shop.boqii.com/product-6480.html
宝***8,5分,波奇年后活动天天秒杀，囤了好多货，发货超快，都还没吃，先囤着。  ,https://shop.boqii.com/product-6480.html
2***5,5分,宝贝收到了。家里还有暂时还没有打开让豆豆吃。  ,https://shop.boqii.com/product-6480.html
大*,5分,包装很好，物流很快。此款狗粮是第一次买，味道很纯正。狗狗也很喜欢。狗粮的配料表介绍非常详细，感觉是健康的狗粮。会再来。  ,https://shop.boqii.com/product-6480.html
b***6,5分,还没吃。。第一次买国产粮。。希望GG喜欢。。  ,https://shop.boqii.com/product-6480.html
m***6,5分,默认好评  ,https://shop.boqii.com/product-6480.html
番***姐,5分,默认好评  ,https://shop.boqii.com/product-6480.html
